"Test Case ID","Module / Feature","Test Scenario Description","Selenium Automation Steps","Locator Strategy","Input Data / Parameters","Expected Result","Priority","Execution Status"
"TC_AUTH_001","Auth - Sign In Modal","Verify opening Sign In modal from top navigation bar","1. Open http://127.0.0.1:8080/ 2. Click button with id 'btn-open-login'","id=btn-open-login","None","Sign In modal with id 'login-modal' receives CSS class 'open'","High","Ready for Automation"
"TC_AUTH_002","Auth - Sign In Modal","Verify closing Sign In modal using close icon","1. Open Sign In modal 2. Click element with id 'login-close-btn'","id=login-close-btn","None","login-modal removes class 'open' and becomes invisible","Medium","Ready for Automation"
"TC_AUTH_003","Auth - Sign Up Modal","Verify opening Sign Up modal from top navigation bar","1. Open site 2. Click button with id 'btn-open-signup'","id=btn-open-signup","None","Sign Up modal with id 'signup-modal' opens successfully","High","Ready for Automation"
"TC_AUTH_004","Auth - Sign Up Modal","Verify closing Sign Up modal using close icon","1. Open Sign Up modal 2. Click element with id 'signup-close-btn'","id=signup-close-btn","None","signup-modal closes smoothly","Medium","Ready for Automation"
"TC_AUTH_005","Auth - Switch Modal","Verify navigating from Sign In modal to Sign Up modal","1. Open Sign In modal 2. Click link with id 'link-to-signup'","id=link-to-signup","None","Sign In modal closes and Sign Up modal opens","Medium","Ready for Automation"
"TC_AUTH_006","Auth - Switch Modal","Verify navigating from Sign Up modal to Sign In modal","1. Open Sign Up modal 2. Click link with id 'link-to-login'","id=link-to-login","None","Sign Up modal closes and Sign In modal opens","Medium","Ready for Automation"
"TC_AUTH_007","Auth - Registration","Verify new user registration with valid details","1. Open Sign Up modal 2. Fill Name, Email, Phone, Location, Password 3. Click submit","id=signup-form","Name: John Doe, Email: john@test.com, Phone: 9876543210, Pass: pass123","Account created, 100 Pts toast displayed, user logged in","High","Ready for Automation"
"TC_AUTH_008","Auth - Registration","Verify registration failure when Name is left empty","1. Open Sign Up 2. Leave Name blank, fill Phone and Password 3. Submit","id=signup-name","Name: empty, Phone: 9876543210, Pass: pass123","Validation error displayed, form not submitted","High","Ready for Automation"
"TC_AUTH_009","Auth - Registration","Verify registration failure when Phone is left empty","1. Open Sign Up 2. Enter Name and Pass, leave Phone empty 3. Submit","id=signup-phone","Name: John, Phone: empty, Pass: pass123","Validation error displayed, form not submitted","High","Ready for Automation"
"TC_AUTH_010","Auth - Registration","Verify registration failure when Password is left empty","1. Open Sign Up 2. Enter Name and Phone, leave Password empty 3. Submit","id=signup-password","Name: John, Phone: 9876543210, Pass: empty","Form submission prevented with required attribute error","High","Ready for Automation"
"TC_AUTH_011","Auth - Registration","Verify registration optional email field handling","1. Open Sign Up 2. Fill Name, Phone, Password, leave Email empty 3. Submit","id=signup-email","Name: Mark, Email: empty, Phone: 9811223344, Pass: secret12","Account created successfully with default fallback email handling","Medium","Ready for Automation"
"TC_AUTH_012","Auth - Registration","Verify registration default location pre-fill value","1. Inspect location input in Sign Up modal","id=signup-location","None","Location input defaults to 'Adyar, Chennai'","Low","Ready for Automation"
"TC_AUTH_013","Auth - Registration","Verify custom location registration","1. Change location input to 'Koramangala, Bangalore' 2. Complete signup","id=signup-location","Location: Koramangala, Bangalore","User session reflects updated custom location","Medium","Ready for Automation"
"TC_AUTH_014","Auth - Login","Verify login with registered valid phone number and password","1. Open Login modal 2. Enter phone and password 3. Click Sign In","id=login-form","Phone: 9876543210, Pass: pass123","Login successful toast shown, navbar displays username","High","Ready for Automation"
"TC_AUTH_015","Auth - Login","Verify login with registered valid email and password","1. Open Login modal 2. Enter email and password 3. Click Sign In","id=login-phone","Email: john@test.com, Pass: pass123","Login successful, user profile loaded","High","Ready for Automation"
"TC_AUTH_016","Auth - Login","Verify login error with unregistered phone number","1. Enter non-existent phone 9000000000 2. Submit login","id=login-form","Phone: 9000000000, Pass: any123","Handles fallback gracefully or displays Demo Sign In info toast","Medium","Ready for Automation"
"TC_AUTH_017","Auth - Login","Verify login validation when phone/email input is blank","1. Leave phone empty, enter password 2. Click Sign In","id=login-phone","Phone: empty, Pass: 123456","Toast error: Please enter phone/email and password","High","Ready for Automation"
"TC_AUTH_018","Auth - Login","Verify login validation when password input is blank","1. Enter phone, leave password empty 2. Click Sign In","id=login-password","Phone: 9876543210, Pass: empty","Toast error: Please enter phone/email and password","High","Ready for Automation"
